id,name,sex,age,height,weight,country,year,season,sport,event,medal,athletes,totalmedals,topathletes
716,Lautaro Germn Acosta,M,20,168.0,72.0,Argentina,2008,Summer,Football,Football Men's Football,Gold,1116,1,1
723,Osmay Acosta Duarte,M,23,188.0,91.0,Cuba,2008,Summer,Boxing,Boxing Men's Heavyweight,Bronze,1116,1,0
832,Nicola Virginia Adams,F,29,164.0,51.0,Great Britain,2012,Summer,Boxing,Boxing Women's Flyweight,Gold,918,1,2
832,Nicola Virginia Adams,F,33,164.0,51.0,Great Britain,2016,Summer,Boxing,Boxing Women's Flyweight,Gold,969,1,2
837,Rachael Alexis Adams,F,26,188.0,81.0,United States,2016,Summer,Volleyball,Volleyball Women's Volleyball,Bronze,969,1,0
846,Valerie Kasanita Adams-Vili (-Price),F,23,193.0,120.0,New Zealand,2008,Summer,Athletics,Athletics Women's Shot Put,Gold,932,1,2
846,Valerie Kasanita Adams-Vili (-Price),F,27,193.0,120.0,New Zealand,2012,Summer,Athletics,Athletics Women's Shot Put,Gold,918,1,2
846,Valerie Kasanita Adams-Vili (-Price),F,31,193.0,120.0,New Zealand,2016,Summer,Athletics,Athletics Women's Shot Put,Silver,969,1,2
849,Filip Kamil Adamski,M,29,189.0,87.0,Germany,2012,Summer,Rowing,Rowing Men's Coxed Eights,Gold,1023,1,1
896,Olubayo Adefemi,M,22,181.0,82.0,Nigeria,2008,Summer,Football,Football Men's Football,Silver,1116,1,0
908,"Ayodele ""Dele"" Adeleye",M,19,190.0,80.0,Nigeria,2008,Summer,Football,Football Men's Football,Silver,1116,1,0
925,Adenzia Aparecida Ferreira da Silva,F,25,187.0,65.0,Brazil,2012,Summer,Volleyball,Volleyball Women's Volleyball,Gold,918,1,1
980,"Rebecca ""Becky"" Adlington",F,19,179.0,70.0,Great Britain,2008,Summer,Swimming,Swimming Women's 400 metres Freestyle,Gold,932,1,2
980,"Rebecca ""Becky"" Adlington",F,19,179.0,70.0,Great Britain,2008,Summer,Swimming,Swimming Women's 800 metres Freestyle,Gold,932,1,2
980,"Rebecca ""Becky"" Adlington",F,23,179.0,70.0,Great Britain,2012,Summer,Swimming,Swimming Women's 400 metres Freestyle,Bronze,918,1,2
980,"Rebecca ""Becky"" Adlington",F,23,179.0,70.0,Great Britain,2012,Summer,Swimming,Swimming Women's 800 metres Freestyle,Bronze,918,1,2
1000,Dainius Adomaitis,M,26,202.0,100.0,Lithuania,2000,Summer,Basketball,Basketball Men's Basketball,Bronze,1124,1,0
1017,Nathan Ghar-Jun Adrian,M,19,198.0,100.0,United States,2008,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1116,1,5
1017,Nathan Ghar-Jun Adrian,M,23,198.0,100.0,United States,2012,Summer,Swimming,Swimming Men's 100 metres Freestyle,Gold,1023,1,5
1017,Nathan Ghar-Jun Adrian,M,23,198.0,100.0,United States,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver,1023,1,5
1017,Nathan Ghar-Jun Adrian,M,23,198.0,100.0,United States,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1023,1,5
1017,Nathan Ghar-Jun Adrian,M,27,198.0,100.0,United States,2016,Summer,Swimming,Swimming Men's 50 metres Freestyle,Bronze,1054,1,5
1017,Nathan Ghar-Jun Adrian,M,27,198.0,100.0,United States,2016,Summer,Swimming,Swimming Men's 100 metres Freestyle,Bronze,1054,1,5
1017,Nathan Ghar-Jun Adrian,M,27,198.0,100.0,United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1054,1,5
1017,Nathan Ghar-Jun Adrian,M,27,198.0,100.0,United States,2016,Summer,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold,1054,1,5
1020,Adriana Aparecida dos Santos,F,29,180.0,61.0,Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,880,1,0
1023,"Adriana ""Adrianinha"" Moiss Pinto",F,21,170.0,65.0,Brazil,2000,Summer,Basketball,Basketball Women's Basketball,Bronze,880,1,0
1071,Kseniya Dmitriyevna Afanasyeva,F,20,158.0,48.0,Russia,2012,Summer,Gymnastics,Gymnastics Women's Team All-Around,Silver,918,1,0
1095,Cecil Sebastian Afrika,M,28,175.0,75.0,South Africa,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,1054,1,0
1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",M,27,193.0,104.0,South Africa,2016,Summer,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze,1054,1,0
1114,Luca Agamennoni,M,24,187.0,93.0,Italy,2004,Summer,Rowing,Rowing Men's Coxless Fours,Bronze,1103,1,0
1114,Luca Agamennoni,M,27,187.0,93.0,Italy,2008,Summer,Rowing,Rowing Men's Quadruple Sculls,Silver,1116,1,0
1131,Clarisse Agbegnenou,F,23,164.0,66.0,France,2016,Summer,Judo,Judo Women's Half-Middleweight,Silver,969,1,0
1169,Marilyn Agliotti,F,29,172.0,58.0,Netherlands,2008,Summer,Hockey,Hockey Women's Hockey,Gold,932,1,2
1169,Marilyn Agliotti,F,33,172.0,58.0,Netherlands,2012,Summer,Hockey,Hockey Women's Hockey,Gold,918,1,2
1173,Yannick Agnel,M,20,202.0,90.0,France,2012,Summer,Swimming,Swimming Men's 200 metres Freestyle,Gold,1023,1,2
1173,Yannick Agnel,M,20,202.0,90.0,France,2012,Summer,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold,1023,1,2
1173,Yannick Agnel,M,20,202.0,90.0,France,2012,Summer,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,1023,1,2
1220,Sergio Leonel Agero del Castillo,M,20,172.0,74.0,Argentina,2008,Summer,Football,Football Men's Football,Gold,1116,1,1
1221,"Taismary ""Tai"" Agero Leiva (-Botteghi)",F,23,175.0,70.0,Cuba,2000,Summer,Volleyball,Volleyball Women's Volleyball,Gold,880,1,1
1254,Macarena Aguilar Daz,F,27,170.0,67.0,Spain,2012,Summer,Handball,Handball Women's Handball,Bronze,918,1,0
1262,Sandra Aguilar Navarro,F,23,167.0,50.0,Spain,2016,Summer,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver,969,1,0
1301,Sri Wahyuni Agustiani,F,21,147.0,47.0,Indonesia,2016,Summer,Weightlifting,Weightlifting Women's Flyweight,Silver,969,1,0
